# of Use,# de Uso
%1$s incl tax.,%1$s incl imp.
%s - %s,%s - %s
%s Item(s),%s Artículo(s)
%s and above,%s y superior
%s-%s of %s,%s-%s of %s
Category Top Navigation,Categoría navegación superior
Category URL Suffix,Categoría Sufijo URL 
Category attributes API,Categoría atributos API
Category move error,Error de movimiento de Categoría 
Category move error %s,Error de movimiento Categoría % s
Category move operation is not possible: parent category is equal to child category.,No es posible Operación de movimiento de Categoría: categoría padre es igual a la categoría hijo.
Category move operation is not possible: the current category was not found.,No es posible Operación de movimiento de Categoría: no se encontró la categoría actual.
Category move operation is not possible: the new parent category was not found.,No es posible operación movimiento de Categoría: no se encontró la nueva categoría padre.
Category must be an instance of Mage_Catalog_Model_Category.,Categoría debe ser una instancia de Mage_Catalog_Model_Category.
Center,Centro
Change,Cambiar
Change or Retrieve attribute store view,Cambiar o Recuperar atributo de la tienda
Change status,Cambiar estatus
Check items to add to the cart or,Comprueba los elementos a añadir al carrito o
Choose an Option...,Elige una opción..
Clear All,Vacíar todo
Clear Price,Restaurar precio
Click for price,Click para precio
Close Window,Cerrar ventana
Collapse All,Desplegar todo
Comma-separated.,Separado por comas.
Comparable,Comparable
Comparable on Front-end,Comparable en Front-end
Comparable on the Frontend,Comparable en el Frontend
Compare,Comparar
Compare Products,Comparar productos
Conditions Combination,Combinación de Condiciones.
Configurable Product,Producto configurable
Configurable Product Settings,Configuración del producto configurable.
Configure Product,Configurar productos
Continue,Continuar
Copy From Configurable,Copie De configurable
Country/State,País/Estado
Create,Crear
Create (Upload),Crear (Subir)
Create Empty,Crear vacío
Create Permanent Redirect for URLs if URL Key Changed,Crear redirección permanente para las direcciones URL si URL Clave es cambiada
Create Permanent Redirect for old URL,Crear redirección permanente para antigua URL
Create Product Settings,Crear una configuración de producto
Create Simple Associated Product,Crear Producto simple asociado
Create attribute set based on another set,Crear conjunto de atributos basado en otro conjunto
Create new attribute,Crear nuevo atributo
Create new category,Crear nueva categoría
Create new product,Crear nuevo producto
Cross-sells,Ventas Cruzadas
Currently Shopping by:,Actualmente está comprando por:
Custom Design,Diseño personalizado
Custom Options,Opciones Personalizadas
Custom options,Opciones personalizadas
Customer Group,Grupo de usuarios
Customers Reviews,Comentarios de clientes
Customers Tagged Product,Etiquetado de productos Clientes
Data Type for Saving in Database,Tipo de datos para guardar en la base de datos
Date & Time Custom Options,Opciones personalizadas de Fecha y hora
Date Fields Order,Orden de campos de fecha 
Date Subscribed,Fecha Suscrita.
Datetime,Fecha y hora
Decimal,Decimal
Declare attribute value saving scope,Declarar el alcance de almacenado del valor del atributo 
"Default ""What's This"" Text Message","Mensaje de Texto Predeterminado ""¿Qué es esto?"" "
Default Popup Text Message,Mensajes de texto emergente predeterminado
Default Price,Precio predeterminado
Default Price Navigation Step,Paso de Navegación Precio Predeterminado
Default Qty,Cant Predeterminada
Default Values,Valores predeterminados
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Define el alcance moneda base (""Configuración moneda""> ""Opciones de divisas""> ""moneda base"")."
Delete,Borrar
Delete Attribute,Borrar Atributo
Delete Attribute Set,Borrar Conjunto de Atributos
Delete Category,Borrar categoría
Delete Group Price,Borrar grupo de precios
Delete Option,Borrar opción
Delete Row,Borrar fila
Delete Search,Borrar busqueda
Delete Selected Group,Borrar grupo seleccionado
Delete Tier,Eliminar Nivel.
Delete attribute,Borrar atributo
Delete category,Borrar categoría
Delete product,Borrar producto
Depends on design theme,Depende del diseño del tema
Description,Descripción
Design,Diseño
Details,Detalles
Disabled,Desactivado
Disallowed file type.,Tipo de archivo no permitido.
Display Actual Price,Mostrar Precio Actual
Display Page Control,Página de visualización de control
Display Price Interval as One Price,Mostrar Intervalo de Precio como un Precio
Display Product Count,Mostrar conteo de producto
Display Type,Mostrar Tipo
Display in Suggested Terms,Mostrar en terminos sugeridos
Double click on a group to rename it,Haz doble clic en un grupo para cambiarle el nombre
Double click on above image to view full picture,Doble click en la imagen para verla en tamaño completo
Downloadable Information,Información Descargable
Duplicate,Duplicar
Duplicate website group price customer group.,Duplicar grupo de precios del sitio web de grupo de clientes
Duplicate website tier price customer group and quantity.,Duplicar página web del grupo de clientes de nivel de precio y cantidad.
"Duplicate website, country and state tax found.","Duplicar página web,  país e impuesto estatal encontrados."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Por ejemplo {{media url = ""path / to / imagen.jpg""}} {{piel url = ""path / to / picture.gif""}}.Análisis sintáctico de  directivas dinámicas "
Edit,Editar
Edit Attribute Set '%s',Editar atributo Set '% s'
Edit Product Attribute,Editar atributo del producto
"Edit Product Attribute ""%s""","Editar los atributos del producto ""% s"""
Edit Search,Editar Busqueda
Edit Search '%s',Editar búsqueda '% s'
Edit Set Name,Editar nombre de conjunto
Email,Correo Electrónico
Email to a Friend,Envíar a un amigo
Empty,Vacío
Enable MAP,Habilitar MAP
Enable Qty Increments,Habilitar Incrementos de Cant
Enable WYSIWYG,Habilitar WYSIWYG
Enable for reindexing a big number of SKUs.,Habilitar para reindexamientos de un gran número de SKU.
Enabled,Habilitado
Error during retrieval of option value: %s,Error durante recuperación de valor de opción:% s
Exclude,Excluir
Expand All,Expandir Todo
Failed,Falló
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Error al copiar el archivo% s. Por favor, elimine los medios de comunicación con imágenes no-existentes y vuelva a intentarlo."
Failed to move file: %s,No se pudo mover el archivo:% s
Feature Products,Productos Destacados
Field is not complete,Campo no compatible
File options format is not valid.,Formato de opciones de archivo no es válido.
File upload failed,Falló la subida del archivo
Filter,Filtro
Filter model name must be declared.,Nombre de filtro de modelo debe ser declarada.
Filter must be an object. Please set correct filter.,"El filtro debe ser un objeto. Por favor, establece filtro correcto."
Filterable (no results),Filtrable (sin resultados)
Filterable (with results),Filtrable (conresultados)
First Name,Nombre(s)
Fixed,Fijo
For internal use.,Para uso interno.
For the last time placed.,Por última vez colocado.
Frontend,Interfaz(Frontend)
Frontend Model,Modelo Frontend 
Frontend Properties,Propiedades de Interfaz
Gallery,Galería
General Information,Información General
Get full information about attribute with list of options,Obtener información completa sobre el atributo con la lista de opciones
Get full information about custom option in product,Obtén toda la información sobre la opción personalizada en producto
Get list of available custom option types,Obtener lista de tipos de opciones personalizadas disponibles
Get list of non-default attributes by product type and attributes set,Obtener lista de atributos no predeterminados por tipo de producto y conjunto de atributos 
Get list of possible attribute types,Obtener lista de posibles tipos de atributos
Get special price,Obtener un precio especial
Global,Global
Globally Editable,Globalmente Editable
Go to Home Page,Ir a Página de Inicio
Grid,Cuadrícula
Group add,Agregar grupo
Group remove,Quitar grupo
Grouped Product,Producto Agrupado
Groups,Grupos
Home,Inicio
ID,ID
ID: %s,ID: %s
"If empty, the Category Name will be used","Si está vacío, se utilizará el nombre de categoría"
"If empty, the Product Name will be used","Si está vacío, se utilizará el nombre del producto"
If you do not specify an option value for a specific store view then the default (Admin) value will be used.,Si no especificas un valor de opción para una vista específica de tienda entonces se utilizará el valor predeterminado (Admin).
Image,Imagen
Image content is not valid base64 data.,Contenido de la imagen no es datos base64 válidos.
Image does not exist.,La imagen no existe.
Image file was not found.,No se ha encontrado el archivo de imagen.
Image type and information need to be specified for each store view.,El tipo de imagen e información deben especificarse para cada vista de tienda.
In Cart,En Carrito
In Stock,En Existencia
In stock,En existencia
Incl. Tax,Incl. Imp
Index product and categories URL rewrites,Índice de productos y categorías de reescrituras de URL
Index product attributes for layered navigation building,Los atributos del producto Índice para la construcción de la navegación por capas
Index product prices,Índice de precios de los productos
Indexed category/products association,Categoría Indexadada/ asociación de productos 
Info,Info
Info Column Options Wrapper,Información de Opciones de Columna 
Input Type,Tipo de entrada
Integer,Número Entero
Interval Division Limit,Límite de División de Intervalo
Invalid Tier Prices,Nivel de precio invalido
Invalid attribute %s,Atributo no válido %s
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Opción inválida de atributo especificada para el atributo%s (%s), pasando por alto el registro."
"Invalid attribute set specified, skipping the record.","Conjunto de atributos especificado no es válido, saltándose el registro."
Invalid block: %s.,Bloque invalido: %s.
Invalid category IDs.,IDs de categoría invalidos.
Invalid category.,Categoría invalida.
Invalid image file type.,El tipo de archvio de la imagen es invalido.
Invalid image type.,Tipo de imagen invalido.
"Invalid option ID specified for %s (%s), skipping the record.","Opción de ID especificada para% s (% s) es inválida, pasando por alto el registro."
"Invalid product type specified, skipping the record.","Tipo de producto especificado es inválido, saltándose el registro."
Invalid store specified,La tienda especificada es inválida.
"Invalid store specified, skipping the record.","Tienda inválida especificada, saltándose el registro."
Invalid tier prices. The product is not associated to the requested website.,Precios de nivel no válidos. El producto no está asociada a la página web solicitada.
Inventory,Inventario
Is Default,Es Predeterminado
Is Required,Requerido
Items %s to %s of %s total,Artículos %s de %s a %s en total
Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.,"Los artículos que no deseas mostrar en el catálogo o resultados de búsqueda deben tener el estado ""Desactivado"" en la tienda deseada."
Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.,"Los artículos que no deseas mostrar en el catálogo o resultados de búsqueda deben tener el estado ""Desactivado"" en la tienda deseada."
Keep your eyes open for our special Back to School items and save A LOT!,Mantén tus ojos abiertos a nuestro especial de Vuelta a la escuela y ahorra MUCHO!
Label,Etiqueta
Last Name,Apellído
Last Notification,Última notificación
Layered Navigation,Capas de navegación
Learn More,Aprende más
"Line %d, Email: %s","Línea %d, Correo Electrónico: %s"
"Line %d, SKU: %s","Línea %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Enlace (Relacionado, Up sell, Venta cruzada)"
Link product does not exist.,El enlace del producto no existe.
Link to a Specified Category,Enlace a una categoría específica
Link to a Specified Product,Enlace a un producto específico
List,Lista
List Mode,Modo Lista
List of Products that are set as New,Lista de los productos que están establecidos como Nuevos.
List of types,Lista de tipos
Manage Attribute Sets,Administrar Conjunto de Atributos
Manage Attributes,Administrar Atributos
Manage Catalog Categories,Administrar Catálogo de Categorías
Manage Categories,Administrar Categorías
Manage Label / Options,Administrar Etiquetas / Opciones
Manage Options (values of your attribute),Administrar opciones (valores de tu atributo)
Manage Product Attributes,Administrar Características del producto
Manage Product Sets,Administrar conjuntos de producto
Manage Products,Administrar Productos
Manage Stock,Administrar Inventario
"Manage Titles (Size, Color, etc.)","Administrar los títulos (tamaño, color, etc.)"
Max Characters,Número máximo de caracteres
Maximal Depth,Profundidad máxima.
Maximum Image Size,Tamaño Máximo de la Imagen
Maximum Number of Price Intervals,Número Máximo de Intervalo de Precios
Maximum Qty Allowed in Shopping Cart,Cantidad Máxima Permitida en el carro de compra
Maximum allowed image size for '%s' is %sx%s px.,El tamaño máximo permitido para la imagen '%s' es %sx%s px.
Maximum image height,Altura máxima de imagen
Maximum image width,Ancho máximo de imagen
Maximum number of characters:,Número máximo de caracteres:
Maximum number of price intervals is 100,El número máximo de intervalos de precio es 100
Maximum width base product image will be scaled down to in pixels,El ancho máximo de la imagen base de producto se escalará en píxeles
Maximum width small product image will be scaled down to in pixels,El ancho máximo de la imagen chica de producto se escalará en píxeles
Media Image,Imagen de Medios.
Minimum Advertised Price,Precio mínimo anunciado
Minimum Lines per Page,Mínimo de líneas por página
Minimum Qty Allowed in Shopping Cart,Cant mínima permitida en el carrito de compras
Minimum Qty for Item\'s Status to be Out of Stock,Cant mínima para artículos con estado sin inventario
"Missing SKU, skipping the record.","No se encuentra SKU, el registro será saltado."
More Views,Más Vistos
Move,Mover
Move category in tree,Mover categoría en árbol
Must be in the allowed values list.,Debe estar en la lista de valores permitidos.
My Account,Mi Cuenta
N/A,N/A
Name,Nombre(s)
Name in %s,Nonmbre en %s
New Product,Nuevo Producto 
New Product Attribute,Nuevo Atributo de Producto
New Products,Nuevos Productos
New Products Grid Template,Plantilla Cuadrícula de Nuevos Productos
New Products List Template,Plantilla Lista de Nuevos Productos
New Root Category,Nueva Categoría Raíz
New Search,Nueva Busqueda
New Set Name,Establecer Nombre Nuevo
New Subcategory,Nueva Subcategoría
New products,Nuevos productos
Next,Siguiente
No,No
No image,Sin imagen
No layout updates,No hay actualizaciones del diseño
No options of this product are available.,Este producto no tiene opciones disponibles
No product collections found.,No se encontraron colecciones de productos.
None,Ninguno
Not Visible Individually,No visible individualmente
Notify Low Stock RSS,Notificar poco inventario RSS
Notify for Quantity Below,A continuación notificar para cantidad
Number of Products per Page,Número de productos por página
Number of Products to Display,Número de productos a mostrar
Number of Uses,Número de Usos
Number of results,Número de resultados
Number of results (For the last time placed),Número de resultados (Colocados para la última vez)
OK,OK
OR,Ó
Old Price:,Precio Anterior:
On Gesture,Mostrar en popup al hacer click
Option validation failed to add product to cart.,Falló la validación de la opción al agregar el producto al carrito.
Option values,Valores de opción
Option:,Opción:
Options,Opciones
Options Control,Control de Opciones
Options is required,Se requieren las opciones
Our customer service is available 24/7. Call us at (555) 555-0123.,Nuestro Servicio está disponible 24/7. Llámanos al (555) 555-0123
Out of Stock,Sin Inventario
Out of stock,Sin inventario
PM,PM
Page Title Separator,Separador de Título de Página
Parent Category,Categoría Padre
Pending,Pendiente
Pending Reviews RSS,Comentarios RSS pendientes
Percentage,Porcentaje 
Please add rows to option.,Por favor agrega filas a la opción.
Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.,"Por favor, ten cuidado ya que una vez que hagas clic en la fila, cargará todos los datos de paquetes del archivo seleccionado y se perderán todos los datos del formulario que no hayas guardado."
Please click on the Close Window button if it is not closed automatically.,Por favor haz clic en el botón cerrar ventana si no se cierra automáticamente. 
Please enter a new group name,Por favor ingresa un nuevo nombre de grupo
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Por favor recarga ""Catálogo de reescrituras de URL"" y ""Atributos de Producto"" en Sistema -&gt; <a href=""%s"">Index Management</a>"
Please select a static block ...,Por favor selecciona un bloque estático..
Please select items.,Por favor selecciona artículos.
Please select one or more attributes.,Por favor selecciona uno o más atributos
Please select product(s).,"Por favor, seleccione tu producto (s)."
Please select products for attributes update,Para actualizar productos por favor selecciona productos
Please specify date required option(s).,Please specify date required option(s).
"Please specify the number of products, that will not be divided into subintervals.","Please specify the number of products, that will not be divided into subintervals."
Please specify the product required option(s),Please specify the product required option(s)
Please specify the product required option(s).,Please specify the product required option(s).
Please specify the product\'s option(s).,Please specify the product\'s option(s).
Please specify the product\'s required option(s).,Please specify the product\'s required option(s).
Please specify the quantity of product(s).,Please specify the quantity of product(s).
Please specify time required option(s).,Please specify time required option(s).
Please wait...,Por favor espera...
Position,Posición
Position in Layered Navigation,Position in Layered Navigation
Position of attribute in layered navigation block,Position of attribute in layered navigation block
Prev,Prev
Previous,Previo
Price,Precio
Price Navigation Step Calculation,Price Navigation Step Calculation
Price Type,Tipo de Precio
Price is not available,Precio no disponible
Price values for options should be specified in system base currency.,Price values for options should be specified in system base currency.
Price:,Precio:
Price: %s,Precio: %s
Print This Page,Imprimir Esta Página
Product,Producto
Product API,Product API
Product Alerts,Alertas de Producto
Product Attribute,Atributo de Producto
Product Attributes,Atributos de Productos
Product Categories,Categoría de Productos
Product Description,Descripción de Productos
Product Extra Info,Product Extra Info
Product Flat Data,Product Flat Data
Product ID,ID de Producto
Product Image,Imagen de Producto
Product Image Placeholders,Product Image Placeholders
Product Image Watermarks,Marca de Agua de Imagen de Producto 
Product Images,Imagenes de Producto
Product Images API,Product Images API
Product In Websites,Producto en Sitios web
Product Info Column,Columna de Información de Producto
Product Information,Información de Producto
Product Link Block Template,Plantilla de enlace de bloque de producto
Product Link Inline Template,Product Link Inline Template
Product Listing Sort by,Product Listing Sort by
Product Name,Nombre de producto
Product Prices,Precios de Productos
Product Reviews,Revisiones de Producto
Product Tags,Etíquetas de Producto
Product Tier Price API,Product Tier Price API
Product Type,Tipo de Producto
Product URL Suffix,Product URL Suffix
Product View Extra Hint,Product View Extra Hint
Product attribute sets API,Product attribute sets API
Product attributes API,Product attributes API
Product collection expected.,Product collection expected.
Product is not loaded,Producto no Cargado
"Product links API (related, cross sells, up sells)","Product links API (related, cross sells, up sells)"
Product types API,Product types API
Product with this combination of attributes already associated to configurable.,Product with this combination of attributes already associated to configurable.
Products,Productos
Products Comparison List,Lista de comparación de productos
Products Information,Información de Productos
Products Reviews,Revisión de Productos
Products Sitemap,Products Sitemap
Products only,Sólo Productos
Products per Page on Grid Allowed Values,Products per Page on Grid Allowed Values
Products per Page on Grid Default Value,Products per Page on Grid Default Value
Products per Page on List Allowed Values,Products per Page on List Allowed Values
Products per Page on List Default Value,Products per Page on List Default Value
Properties,Propiedades
Qty,Cant
Qty Increments,Incrementos de Cant
Qty Uses Decimals,Qty Uses Decimals
Qty for Item\'s Status to Become Out of Stock,Qty for Item\'s Status to Become Out of Stock
Qty:,Cant:
Quantity,Cantidad
Quick Create,Crear rápido
Quick Overview,Visión General Rápida
Quick simple product creation,Quick simple product creation
"Records for ""%s"" store found.","Records for ""%s"" store found."
Redirect,Redireccionar
Redirect URL,Redirect URL
Regular Price:,Precio Regular:
Related Products,Related Products
Remove,Quitar
Remove Product From Websites,Remove Product From Websites
Remove This Item,Descartar este artículo
Remove attribute from attribute set,Remove attribute from attribute set
Remove attribute set,Quitar Este Conjunto de Atributos
Remove custom option,Quitar Opción Personalizada
Remove group from attribute set,Remove group from attribute set
Remove option,Quitar opción
Remove product assignment,Remove product assignment
Remove product image,Quitar imagen de producto
Remove product link,Quitar link de producto
Remove value from custom option,Remove value from custom option
Rename existing group,Renombrar grupo existente
Rename group,Renombrar grupo
Reorganize EAV category structure to flat structure,Reorganize EAV category structure to flat structure
Reorganize EAV product structure to flat structure,Reorganize EAV product structure to flat structure
Reset,Reestablecer
Results,Resultados
Results per page,Resultados por página
Retrieve attribute data,Recuperar datos de atributo
Retrieve attribute list,Recuperar lista de atributos
Retrieve attribute options,Recuperar opciones de atributos
Retrieve categories tree,Recuperar árbol de categorías
Retrieve category attributes,Retrieve category attributes
Retrieve category data,Retrieve category data
Retrieve hierarchical tree,Recuperar árbol jerarquico
Retrieve linked products,Recuperar productos enlazados
Retrieve list of assigned products,Recuperar lista de productos asignados
Retrieve list of option values,Retrieve list of option values
Retrieve list of product custom options,Retrieve list of product custom options
Retrieve one level of categories by website/store view/parent category,Retrieve one level of categories by website/store view/parent category
Retrieve option value info,Retrieve option value info
Retrieve product,Recuperar producto
Retrieve product attribute sets,Retrieve product attribute sets
Retrieve product image,Recuperar imagen de producto
Retrieve product image list,Recuperar lista de imagenes de producto
