%value%' appears to be a DNS hostname but cannot extract TLD part,"%value%' parece ser un nombre de host DNS, pero no se puede extraer la parte TLD "
%value%' appears to be a DNS hostname but cannot match TLD against known list,%value%' parece ser un nombre de host DNS pero no coincide con la lista TLD conocida 
%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%',%value%' parece ser un nombre de host DNS pero no coincide con el esquema de nombre de host para TLD '%tld%'
%value%' appears to be a DNS hostname but contains a dash in an invalid position,"%value%' parece ser un nombre de host DNS, pero contiene un guión en una posición inválida"
%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded,"%value%' parece ser un nombre de host DNS, pero la notación punycode proporcionada no puede ser decodificada"
%value%' appears to be a local network name but local network names are not allowed,"%value%' parece ser un nombre de red local, pero los nombres de redes locales no están permitidos"
"%value%' appears to be an IP address, but IP addresses are not allowed","%value%' parece ser una dirección IP, pero las direcciones IP no están permitidas"
%value%' does not appear to be a valid local network name,%value%' does not appear to be a valid local network name
* Required Fields,* Campo Obligatorio
Newsletter Information,Información de Boletín
Newsletter Received,Boletín Recibido
Newsletter Start,Inicio de Boletín 
Newsletter Subscription,Suscripción a Boletín
Newsletters,Boletines
No Items Found,Artículos no encontrados
No Newsletter Found,No se encontraron boletines
No customer collections found,No se encontraron conjuntos de clientes
No item specified.,Ningún elemento especificado.
Not Sent,No enviado
"Not confirmed, can login","No confirmado, puedes iniciar sesión"
"Not confirmed, cannot login","No confirmado, no puedes iniciar sesión"
Number of Lines in a Street Address ,Número de líneas en una calle 
Offline,Desconectado
Online,En línea
Online Customers,Clientes en línea
Online Customers Options,Opciones de los clientes en línea
Online Minutes Interval,Intervalo de minutos en línea
Order #,Pedido #
Order Total,Pedido Total 
Orders,Pedidos
PDF,PDF
Password,Contraseña
Password Management,Gestión de contraseñas
Password Options,Opciones de contraseña
Password forgotten,Contraseña olvidada
Password:,Contraseña:
Paused,En pausa
Pending,En espera
Per Website,Poer Sitio Web
Personal Information,Información personal
Please enter a number 1 or greater in this field.,"Por favor, introduce un número 1 o mayor en este campo."
Please enter a valid date between %s and %s at %s.,"Por favor, introduce una fecha válida entre el %s y el %s en %s."
Please enter a valid date equal to or greater than %s at %s.,"Por favor, introduce una fecha válida igual o mayor a %s en %s."
Please enter a valid date less than or equal to %s at %s.,"Por favor, introduce una fecha válida menor o igual a %s en %s."
Please enter the city.,"Por favor, introduce la ciudad."
Please enter the country.,"Por favor, introduce el país."
Please enter the first name.,"Por favor, introduce el nombre."
Please enter the last name.,"Por favor, introduce el apellido."
Please enter the state/province.,"Por favor, introduce el estado/provincia."
Please enter the street.,"Por favor, introduce la calle."
Please enter the telephone number.,"Por favor, introduce el número de teléfono."
Please enter the zip/postal code.,"Por favor, introduce el código postal."
Please enter your email address below. You will receive a link to reset your password.,Introduce tu dirección de correo electrónico a continuación. Vas a recibir un enlace para restablecer tu contraseña.
Please enter your email below and we\'ll send you confirmation link for it.,Por favor ingresa tu correo electrónico a continuación y te vamos a envíar un enlace de confirmación.
Please enter your email.,"Por favor, ingresa tu correo electrónico."
Please make sure your passwords match.,"Por favor, asegúrate de que las contraseñas son iguales."
Please select a website which contains store view,"Por favor, elige una página web que contenga vista de tienda"
"Please select region, state or province","Por favor elige región, estado o provincia"
"Please, check your email for confirmation key.","Please, check your email for confirmation key."
Prefix Dropdown Options,Prefix Dropdown Options
Price,Price
Product,Product
Product ID,Product ID
Product Name,Product Name
Product Reviews,Product Reviews
Product Tags,Product Tags
Purchase On,Purchase On
Purchased On,Purchased On
Qty,Qty
Recent Orders,Recent Orders
Records for %s store found.,Records for %s store found.
Recovery Link Expiration Period (days),Recovery Link Expiration Period (days)
Redirect Customer to Account Dashboard after Logging in,Redirect Customer to Account Dashboard after Logging in
Refunded,Refunded
Register,Register
Registered Customers,Clientes Registrados
Remind Email Template,Remind Email Template
Remind Password,Remind Password
Remove,Remove
Require Emails Confirmation,Require Emails Confirmation
Require admin user to change user password,Require admin user to change user password
Reset a Password,Reset a Password
Retrieve address data,Retrieve address data
Retrieve address info,Retrieve address info
Retrieve customer addresses,Retrieve customer addresses
Retrieve customer data,Retrieve customer data
Retrieve customer groups,Retrieve customer groups
Retrieve customer info,Retrieve customer info
Retrieve customers,Retrieve customers
Retrieve your confirmation link here,Retrieve your confirmation link here
Retrieve your password here,Retrieve your password here
SKU,SKU
Sales Statistics,Sales Statistics
Save,Save
Save Address,Save Address
Save Customer,Save Customer
Save Customer Group,Save Customer Group
Save Password,Save Password
Save and Continue Edit,Save and Continue Edit
Saved %d record(s),Saved %d record(s)
Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.,Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.
Send Auto-Generated Password,Send Auto-Generated Password
Send From,Send From
Send Welcome Email,Send Welcome Email
Send Welcome Email after Confirmation,Send Welcome Email after Confirmation
Send confirmation link,Send confirmation link
Sending,Sending
Sent,Sent
Session Start Time,Session Start Time
Set as Default Billing Address,Set as Default Billing Address
Set as Default Shipping Address,Set as Default Shipping Address
Share Customer Accounts,Share Customer Accounts
Shipped to First Name,Shipped to First Name
Shipped to Last Name,Shipped to Last Name
Shipped to Name,Shipped to Name
Shopping Cart,Shopping Cart
Shopping Cart - %d item(s),Shopping Cart - %d item(s)
Shopping Cart of %1$s - %2$d item(s),Shopping Cart of %1$s - %2$d item(s)
Show Date of Birth,Show Date of Birth
Show Gender,Show Gender
Show Middle Name (initial),Show Middle Name (initial)
Show Prefix,Show Prefix
Show Suffix,Show Suffix
Show Tax/VAT Number,Show Tax/VAT Number
Show VAT Number on Frontend,Show VAT Number on Frontend
Sign Up for Newsletter,Sign Up for Newsletter
"Skipping import row, required field ""%s"" is not defined.","Skipping import row, required field ""%s"" is not defined."
"Skipping import row, website ""%s"" field does not exist.","Skipping import row, website ""%s"" field does not exist."
State/Province,State/Province
Status,Status
Store,Store
Store View,Store View
Street Address,Street Address
Street Address %s,Street Address %s
Subject,Subject
Submit,Submit
Subscribe to Newsletter,Subscribe to Newsletter
Subscribed to Newsletter?,Subscribed to Newsletter?
Suffix Dropdown Options,Suffix Dropdown Options
Tag Name,Tag Name
Tax Calculation Based On,Tax Calculation Based On
Tax Class,Tax Class
Tax/VAT number,Tax/VAT number
Telephone,Telephone
Text,Text
Text One Line,Text One Line
Thank you for registering with %s.,Thank you for registering with %s.
The Date of Birth is required.,The Date of Birth is required.
The TAX/VAT number is required.,The TAX/VAT number is required.
The VAT ID entered (%s) is not a valid VAT ID.,The VAT ID entered (%s) is not a valid VAT ID.
The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s.,The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s.
The VAT ID is valid. The current Customer Group will be used.,The VAT ID is valid. The current Customer Group will be used.
The account information has been saved.,The account information has been saved.
The address does not belong to this customer.,The address does not belong to this customer.
The address has been deleted.,The address has been deleted.
The address has been saved.,The address has been saved.
"The customer ID and email did not match, skipping the record, line: %s","The customer ID and email did not match, skipping the record, line: %s"
The customer does not have default billing address.,The customer does not have default billing address.
"The customer email (%s) already exists, skipping the record, line: %s","The customer email (%s) already exists, skipping the record, line: %s"
The customer group has been deleted.,The customer group has been deleted.
The customer group has been saved.,The customer group has been saved.
The customer is currently assigned to Customer Group %s.,The customer is currently assigned to Customer Group %s.
The first name cannot be empty.,The first name cannot be empty.
"The group ""%s"" cannot be deleted","The group ""%s"" cannot be deleted"
The last name cannot be empty.,The last name cannot be empty.
The minimum password length is %s,The minimum password length is %s
The password cannot be empty.,The password cannot be empty.
The password must have at least 6 characters. Leading or trailing spaces will be ignored.,The password must have at least 6 characters. Leading or trailing spaces will be ignored.
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
There are no items in customer's wishlist at the moment,There are no items in customer's wishlist at the moment
There are no items in customer\'s shopping cart at the moment,There are no items in customer\'s shopping cart at the moment
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account."
There was an error validating the VAT ID.,There was an error validating the VAT ID.
There was an error validating the VAT ID. The customer would belong to Customer Group %s.,There was an error validating the VAT ID. The customer would belong to Customer Group %s.
This account is not confirmed.,This account is not confirmed.
This customer email already exists,This customer email already exists
This customer has no saved addresses.,This customer has no saved addresses.
This email does not require confirmation.,This email does not require confirmation.
"This email will be sent instead of default welcome email, after account confirmation.","This email will be sent instead of default welcome email, after account confirmation."
This is My Default %s Address,This is My Default %s Address
To Cart,To Cart
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","To show VAT number on frontend, set Show VAT Number on Frontend option to Yes."
Total,Total
Type,Tipo
Unknown,Unknown
Unsubscribe from Newsletter,Unsubscribe from Newsletter
Update,Actualizar
Update customer address data,Update customer address data
Update customer data,Update customer data
Use as My Default %s Address,Use as My Default %s Address
Use as My Default Billing Address,Use as My Default Billing Address
Use as My Default Shipping Address,Use as My Default Shipping Address
Use as my default billing address,Use as my default billing address
Use as my default shipping address,Use as my default shipping address
VAT Number,VAT Number
VAT Request Date,VAT Request Date
VAT Request Identifier,VAT Request Identifier
Validate VAT Number,Validate VAT Number
Validate on Each Transaction,Validate on Each Transaction
Validation Error Group,Validation Error Group
View,View
View Order,View Order
Visitor,Visitor
Visitors Only,Visitors Only
Website,Website
Welcome Email,Welcome Email
Wishlist,Wishlist
Wishlist - %d item(s),Wishlist - %d item(s)
Would you like to change the Customer Group for this order?,Would you like to change the Customer Group for this order?
Wrong confirmation key.,Wrong confirmation key.
Wrong customer account specified.,Wrong customer account specified.
Wrong email.,Wrong email.
Wrong transactional account email type,Wrong transactional account email type
YYYY,YYYY
Year,Year
You are currently not subscribed to any newsletter.,You are currently not subscribed to any newsletter.
You are currently not subscribed to our newsletter.,You are currently not subscribed to our newsletter.
You are currently subscribed to 'General Subscription'.,You are currently subscribed to 'General Subscription'.
You are currently subscribed to our newsletter.,You are currently subscribed to our newsletter.
You are now logged out,You are now logged out
You have logged out and will be redirected to our homepage in 5 seconds.,You have logged out and will be redirected to our homepage in 5 seconds.
You have no additional address entries in your address book.,You have no additional address entries in your address book.
You have no additional entries in your address book.,You have no additional entries in your address book.
You have no default billing address in your address book.,You have no default billing address in your address book.
You have no default entries in your address book.,You have no default entries in your address book.
You have no default shipping address in your address book.,You have no default shipping address in your address book.
You have not set a default billing address.,You have not set a default billing address.
You have not set a default shipping address.,You have not set a default shipping address.
You have placed no orders yet.,You have placed no orders yet.
You have placed no products yet.,You have placed no products yet.
You will be charged tax.,You will be charged tax.
You will not be charged tax.,You will not be charged tax.
Your Tax ID cannot be validated.,Your Tax ID cannot be validated.
Your VAT ID was successfully validated.,Your VAT ID was successfully validated.
Your account balance is: %s,Your account balance is: %s
ZIP,ZIP
ZIP/Post Code,ZIP/Post Code
Zip/Postal Code,Zip/Postal Code
n/a,n/a
or,or
